prompt_id,probe_id,scenario,category,query_index,query_id,target_id,original_caption,prompt,expected_behavior,rank,image_id,score,image_path,is_original_target,top1_score,top1_top2_margin,contact_sheet
dress_q01_s01,dress_q01,in_domain,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,Retrieve garments that satisfy the original FashionIQ modification.,1,B005VAE7RG,0.2741073966026306,data/fashioniq/images/B005VAE7RG.jpg,0,0.2741073966026306,0.006012558937072754,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s01,dress_q01,in_domain,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,Retrieve garments that satisfy the original FashionIQ modification.,2,B006WY8INO,0.26809483766555786,data/fashioniq/images/B006WY8INO.jpg,0,0.2741073966026306,0.006012558937072754,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s01,dress_q01,in_domain,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,Retrieve garments that satisfy the original FashionIQ modification.,3,B009NBVQ5A,0.265087366104126,data/fashioniq/images/B009NBVQ5A.jpg,0,0.2741073966026306,0.006012558937072754,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s01,dress_q01,in_domain,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,Retrieve garments that satisfy the original FashionIQ modification.,4,B009LGLIIC,0.2608107924461365,data/fashioniq/images/B009LGLIIC.jpg,0,0.2741073966026306,0.006012558937072754,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s01,dress_q01,in_domain,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,Retrieve garments that satisfy the original FashionIQ modification.,5,B00938DX2W,0.2580949664115906,data/fashioniq/images/B00938DX2W.jpg,0,0.2741073966026306,0.006012558937072754,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s02,dress_q01,paraphrase,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,"Apply these requested changes: is lighter and has longer sleeves; also, off the shoulder and less fitted.",Remain close to the in-domain result under a meaning-preserving template change.,1,B007EY9NEE,0.32194674015045166,data/fashioniq/images/B007EY9NEE.jpg,0,0.32194674015045166,0.0009546279907226562,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s02,dress_q01,paraphrase,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,"Apply these requested changes: is lighter and has longer sleeves; also, off the shoulder and less fitted.",Remain close to the in-domain result under a meaning-preserving template change.,2,B005VAE7RG,0.320992112159729,data/fashioniq/images/B005VAE7RG.jpg,0,0.32194674015045166,0.0009546279907226562,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s02,dress_q01,paraphrase,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,"Apply these requested changes: is lighter and has longer sleeves; also, off the shoulder and less fitted.",Remain close to the in-domain result under a meaning-preserving template change.,3,B00775SIPA,0.31117233633995056,data/fashioniq/images/B00775SIPA.jpg,0,0.32194674015045166,0.0009546279907226562,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s02,dress_q01,paraphrase,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,"Apply these requested changes: is lighter and has longer sleeves; also, off the shoulder and less fitted.",Remain close to the in-domain result under a meaning-preserving template change.,4,B0095FP7VI,0.30615532398223877,data/fashioniq/images/B0095FP7VI.jpg,0,0.32194674015045166,0.0009546279907226562,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
dress_q01_s02,dress_q01,paraphrase,dress,1151,B00ANK6ND0,B00AO1VG9Y,is lighter and has longer sleeves [SEP]  off the shoulder and less fitted,"Apply these requested changes: is lighter and has longer sleeves; also, off the shoulder and less fitted.",Remain close to the in-domain result under a meaning-preserving template change.,5,B008DRWA6Y,0.30238983035087585,data/fashioniq/images/B008DRWA6Y.jpg,0,0.32194674015045166,0.0009546279907226562,outputs/hallucination/dress/contact_sheets/dress_q01.jpg
